C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,0,0,1078435.20,NA,NA,NA,0,0,NA
2024,P02,0,0,1023487.10,NA,NA,NA,0,0,NA
2024,P03,0,0,997567.35,NA,NA,NA,0,0,NA
2024,P04,0,0,952295.37,NA,NA,NA,0,0,NA
2024,P05,0,0,911861.44,NA,NA,NA,0,0,NA
2024,P06,0,0,914567.34,NA,NA,NA,0,0,NA
2024,P07,0,0,879753.47,NA,NA,NA,0,0,NA
2024,P08,0,0,856910.95,NA,NA,NA,0,0,NA
2024,P09,0,0,814782.72,NA,NA,NA,0,0,NA
2024,P10,0,0,824321.15,NA,NA,NA,0,0,NA
2024,P11,0,0,811835.77,NA,NA,NA,0,0,NA
2024,P12,0,0,820993.25,NA,NA,NA,0,0,NA
