C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,
2024,P01,NA,NA,NA,NA,0.00,12249.34,343.96,289545.72,,,
2024,P02,NA,NA,NA,NA,4500.00,15053.02,343.96,289558.31,,,
2024,P03,NA,NA,NA,NA,4500.00,12274.95,343.96,289550.86,,,
2024,P04,NA,NA,NA,NA,3200.00,17456.19,343.96,297928.71,,,
2024,P05,NA,NA,NA,NA,0.00,12344.95,343.97,289544.59,,,
2024,P06,NA,NA,NA,NA,27450.00,15122.81,343.97,289560.39,,,
2024,P07,NA,NA,NA,NA,21500.00,12274.95,343.97,226764.28,,,
2024,P08,NA,NA,NA,NA,0.00,15206.91,343.97,358634.32,,,
2024,P09,NA,NA,NA,NA,39900.00,12238.12,286.22,299041.41,,,
2024,P10,NA,NA,NA,NA,32964.00,15159.64,343.97,289564.19,,,
2024,P11,NA,NA,NA,NA,5450.00,12238.12,343.97,293517.42,,,
2024,P12,NA,NA,NA,NA,34158.00,15463.64,343.97,289583.97,,,
,,,,,,,,,,,,
