C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,17850.00,874649.82,NA,NA,NA,NA,152776.7,NA
2024,P02,NA,17529.87,858963.78,NA,NA,NA,NA,0,NA
2024,P03,NA,16466.01,806834.71,NA,NA,NA,NA,30524.27,NA
2024,P04,NA,17251.79,845337.59,NA,NA,NA,NA,61048.54,NA
2024,P05,NA,18275.89,895518.65,NA,NA,NA,NA,0,NA
2024,P06,NA,17097.84,837794.05,NA,NA,NA,NA,0,NA
2024,P07,NA,17578.60,861351.62,NA,NA,NA,NA,0,NA
2024,P08,NA,17469.31,855995.99,NA,NA,NA,NA,0,NA
2024,P09,NA,17207.04,843145.03,NA,NA,NA,NA,0,NA
2024,P10,NA,16373.85,802318.48,NA,NA,NA,NA,81320.39,NA
2024,P11,NA,17158.66,840774.24,NA,NA,NA,NA,0,NA
2024,P12,NA,18107.13,887249.46,NA,NA,NA,NA,91572.82,NA
