C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2023,P01,NA,NA,"2,448,063.00",NA,NA,NA,NA,NA,NA
2023,P02,NA,NA,"2,495,241.00",NA,NA,NA,NA,NA,NA
2023,P03,NA,NA,"3,596,481.00",NA,NA,NA,NA,NA,NA
2023,P04,NA,NA,"2,046,985.00",NA,NA,NA,NA,NA,NA
2023,P05,NA,NA,"2,829,870.00",NA,NA,NA,NA,NA,NA
2023,P06,NA,NA,"3,182,026.00",NA,NA,NA,NA,NA,NA
2023,P07,NA,NA,"2,834,819.00",NA,NA,NA,NA,NA,NA
2023,P08,NA,NA,"2,814,967.00",NA,NA,NA,NA,NA,NA
2023,P09,NA,NA,"10,206,291.00",NA,NA,NA,NA,NA,NA
2023,P10,NA,NA,"3,106,893.00",NA,NA,NA,NA,NA,NA
2023,P11,NA,NA,"2,957,334.00",NA,NA,NA,NA,NA,NA
2023,P12,NA,NA,"3,564,977.00",NA,NA,NA,NA,NA,NA
,,,,,,,,,,
