C601,C602,R001-0101,R001-0102,R001-0103,R001-0104,R001-0105,R001-0106,R001-0107,R001-0108,R001-0109
2024,P01,N/A,N/A,"3,117,765.11",N/A,N/A,N/A,N/A,N/A,N/A
2024,P02,N/A,N/A,"3,409,725.85",N/A,N/A,N/A,N/A,N/A,N/A
2024,P03,N/A,N/A,"4,510,310.58",N/A,N/A,N/A,N/A,N/A,N/A
2024,P04,N/A,N/A,"5,234,463.89",N/A,N/A,N/A,N/A,N/A,N/A
2024,P05,N/A,N/A,"4,505,736.72",N/A,N/A,N/A,N/A,N/A,N/A
2024,P06,N/A,N/A,"4,859,837.96",N/A,N/A,N/A,N/A,N/A,N/A
2024,P07,N/A,N/A,"5,687,242.56",N/A,N/A,N/A,N/A,N/A,N/A
2024,P08,N/A,N/A,"6,737,882.35",N/A,N/A,N/A,N/A,N/A,N/A
2024,P09,N/A,N/A,"6,644,926.88",N/A,N/A,N/A,N/A,N/A,N/A
2024,P10,N/A,N/A,"8,124,985.40",N/A,N/A,N/A,N/A,N/A,N/A
2024,P11,N/A,N/A,"9,401,835.19",N/A,N/A,N/A,N/A,N/A,N/A
2024,P12,N/A,N/A,"8,566,077.95",N/A,N/A,N/A,N/A,N/A,N/A
