C601 ,C602 ,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"$15,206.90","$6,419.83","$248,686.21",NA,NA,NA,NA,NA,NA
2024,P02,"$14,758.62","$5,285.34","$209,282.76",NA,NA,NA,NA,NA,NA
2024,P03,"$14,551.72","$5,121.55","$212,050.86",NA,A,NA,NA,NA,NA
2024,P04,"$16,758.62","$4,233.60","$217,108.58",NA,NA,NA,NA,NA,NA
2024,P05,"$14,620.68","$5,824.13","$206,108.58",NA,NA,NA,NA,NA,NA
2024,P06,"$10,586.20","$5,819.82","$206,896.51",NA,NA,NA,NA,NA,NA
2024,P07,"$11,724.13","$6,560.33","$190,546.52",NA,NA,NA,NA,NA,NA
2024,P08,"$12,793.96","$3,819.82","$215,239.64",NA,NA,NA,NA,NA,NA
2024,P09,"$12,793.96","$4,856.88","$203,210.31",NA,NA,NA,NA,NA,NA
2024,P10,"$12,793.96","$2,890.50","$218,592.18",NA,NA,NA,NA,NA,NA
2024,P11,"$14,827.58","$5,806.88","$216,556.85",NA,NA,NA,NA,NA,NA
2024,P12,"$14,827.58","$7,999.12","$211,540.48",NA,NA,NA,NA,NA,NA
